&	dan
kk	kakak
kk	kakak
kl	kalau
kl	kalau
klian	kalian
klianz	kalian
klo	kalau
klo	kalau
klon	duplikat
kloter	kelompok terbang
klrg	keluarga
klu	kalau
kluarga	keluarga
kluster	klaster
klw	kalau
klwrga	keluarga
km	kamu
km	kamu
kmari	kemari
kmn	kemana
kmps	kampus
kmpus	kampus
kmrmn	kameramen
kmrn	kemarin
kn	kan
knal	kenal
knl	kenal
knp	kenapa
knpa	kenapa
koar	teriak
kodya	kota madya
kog	kok
komdis	komisi disiplin
komnas	komisi nasional
kompi	komputer
komsov	komunis sovyet
komtiong	komunis Tiongkok
komun	komunitas
kongkow	kumpul bareng teman
konjen	konsulat jenderal
koosong	kosong
kopdar	kopi darat
koq	kok
korup	korupsi
kosoong	kosong
kovid	covid
kowe	kamu
kpd	kepada
kpn	kapan
kptsan	keputusan
kpu	komisi pemilihan umum
krenz	keren
krik	garing
krim	kirim
krm	kirim
krn	karena
krn	karena
krna	karena
ksng	kosong
ksong	kosong
kt	kita
ktauan	ketahuan
ktipu	tipu
ktmu	ketemu
ktny	katanya
ktr	kantor
kudu	harus
kumkeb		kumpul kebo
kumsalam	wallaikumsalam	
kuper	kurang pergaulan
kuq	kok
kurng	kurang
kw	imitasi
ky	seperti
kyk	seperti
kykny	sepertinya
kyknya	sepertinya
kzl	kesal
la	lah
laka	kecelakaan
lam	salam
lambreta	lambat
lamp	lampiran
lansia	lanjut usia
lanud	landasan udara
lapas	lembaga pemasyarakatan
latgab	latihan gabungan
lav	cinta
lavv	cinta
lbur	libur
lebeh	berlebihan
leh	boleh
lekong	laki
lelet	lambat
lemot	lambat
less	kurang
lg	lagi
lgi	lagi
lgkp	lengkap
lgs	langsung
lgsg	langsung
lht	lihat
liat	lihat
light	terang
link	tautan
link	tautan
linmas	perlindungan masyarakat
litbang	penelitian dan pengembangan
live	langsung
lmyan	lumayan
lmyn	lumayan
lngkp	lengkap
lnjut	lanjut
lo	kamu
loch	loh
loe	kamu
lol	tertawa
lola	lambat berfikir
lom	belum
lope	cinta
loph	cinta
louph	cinta
loupz	cinta
love	cinta
low	kalau
lowh	kamu
lp	lupa
lsg	langsung
lu	kamu
luber	langsung, umum, bebas, dan rahasia
luchu	lucu
luchuw	lucu
luff	cinta
lum	belum
luph	cinta
lur	saudara
lutchu	lucu
luthu	lucu
luthu	lucu
lw	kamu
lwn	lawan
lwt	lewat
lwt	lewat
maaci	terima kasih
maacih	terima kasih
maaciw	terima kasih
mabal	bolos
mabes	markas besar
mabok	mabuk
macem macem	macam macam
macem	macam
macih	masih
madesu	masa depan suram
maem	makan
maen	main
magabut	makan gaji buta
mager	malas gerak
mahatma	maju sehat bersama
maho	homoseksual
mainstream	sangat umum
mak jang	kaget
mak jegagik	kaget
mak tratap	kaget
mak	ibu
makasih	terima kasih
maksain	memaksa
malah	bahkan
malem	malam
males	malas
malu2in	memalukan
mam	makan
mamz	makan
maneh	kamu
manen	panen
manggil	panggil
manies	manis
maniez	manis
maniezt		manis
manist	manis
mantabss	bagus	
mantaph	bagus
mantapp	bagus
mantappp	bagus
mantep	mantap
mao	mau
markus	makelar kasus
masukin	masukkan
masy	masyarakat
matur	mengucapkan
maybe	mungkin
mb	mbak
mba	mbak
mbabibuta	ceroboh
mbaur	baur
mbual	bual
mbual	membual
mcm	macam
mehong	mahal
melu	ikut
menangi	menangkan
mending	lebih baik
meneketehe	tidak tahu
menel	centil
menolak	tolak
mepet	dekat sekali
mgkin	mungkin
mgkn	mungkin
mgkn	mungkin
mgu	minggu
mhn	mohon
migas	minyak dan gas bumi
miker	minuman keras
mikol	minuman beralkohol
milis	mailing list
mimin	admin
min	admin
minn	admin
miras	minuman keras
mkn	makan
mksd	maksud
mlah	malah
mlm	malam
mls	malas
mmg	memang
mndukung	mendukung
mngkn	mungkin
mniezt	manis
mnipu	tipu
mnis	manis
mnolak	tolak
mnt	minta
mo	mau
modar	mati
modus	maksud lain
moge	motor gede
mokad	mati
mokat	mati
money	uang
monitoring	pemantauan
moso	masa
mosok	masa
most	paling
mpe	sampai
mrk	mereka
mrka	mereka
msh	masih
msk	masuk
mskpn	meskipun
mslh	masalah
msng2	masing masing
mt	makan teman
muahal	mahal
muantap	bagus
muanteb	bagus
muantheb	bagus
mubes	musyawarah besar
much	lebih
muker	musyawarah kerja
mulu	melulu
mumet	pusing
mumpung	selagi
muna	munafik
munas	musyawarah nasional
munaslub	musyawarah nasional luar biasa
munfik	munafik
muntaber	muntah dan berak
mure	murah
musda	musyawarah daerah
musti	mesti
mutusin	memutuskan
muup	maaf
muuph	maaf
muupz	maaf
muuv	maaf
mw	mau
mz	mas
n	dan
naas	nahas
naiis	bagus
nais	bagus
naisu	bagus
naisuu	bagus
nal	kenal
nanam	menanam
nangis	menangis
nanya	bertanya
naon	apa
napa	kenapa
napi	narapidana
napol	narapidana politik
napza	narkotika, alkohol, psikotropika, dan zat adiktif 
naq	anak
narkoba	narkotika, psikotropika, dan obat terlarang
narsis	bangga pada diri sendiri
nasgor	nasi goreng
nax	anak
nda	tidak
ndak	tidak
ndiri	sendiri
ndut	gendut
ne	ini
nekolim		neokolonialisme
nekolin	neokolonialisme
nelfon	menelepon
nembak	menyatakan cinta
new	baru
news	berita
next	lanjut
ngabis2in	menghabiskan
ngabuburit	menunggu berbuka puasa
ngakak	tertawa
ngaku	mengaku
ngambek	marah
ngambil		mengambil
ngampus	pergi ke kampus
nganggur	tidak punya pekerjaan
ngantri	mengantri
ngapah	kenapa
ngapain		sedang apa
ngaret	terlambat
ngaruh	berpengaruh
ngasih	memberikan
ngawur	berbicara sembarangan
ngebandel	berbuat bandel
ngebully	intimidasi
ngeceng	kumpul bareng bareng
ngegosip	bergosip
ngeh	paham
ngeh	sadar
ngehe	kesal
ngeklaim	mengklaim
ngekos	tinggal di kos
ngeksis	menjadi eksis
ngelamar	melamar
ngeles	berkilah
ngeliat	melihat
ngelidur	menggigau
ngemeng	bicara terus	terusan
ngentot	senggama
ngentotin	senggama
ngerampok	merampok
ngeri	seram
ngerti	mengerti
ngeuh	paham
ngga	tidak
nggak	tidak
nggu	menunggu
ngibul	berbohong
ngikut	ikut
ngiler	mau
nginep	menginap
ngiri	iri
ngisi	mengisi
ngisiin	mengisikan
ngk	tidak
ngmg	bicara
ngmng	bicara
ngocol	lucu
ngomong	bicara
ngomongin	membicarakan
ngotot	keras kepala
ngubek2	mencari cari
ngumpet	sembunyi
ngumpul	berkumpul
ngurus	mengurus
ni	ini
nice	bagus
nie	ini
niech	nih
nih	ini
nimbrung	ikut serta
nipu	tipu
niyh	nih
nkah	nikah
nmenarik	menarik
nmr	nomor
nnti	nanti
nntn	nonton
no	nomor
nobar	nonton bareng
nongkrong	berkumpul
np	sedang memutar
nrp	narapidana
ntar	nanti
ntar	sebentar
ntn	nonton
ntn	nonton
nuhun	terima kasih
numpuk	bertumpuk
nunggu	menunggu
nutupin	menutupi
nw	sedang menonton
nyaingin	saing
nyalahin	salah
nyampah	membuat sampah
nyang	yang
nyari	mencari
nyariin	mencari
nyasar	tersesat
nyekar	menyekar
nyela	cela
nyembah	sembah
nyemot	ambil
nyerang	serang
nyiapin	mempersiapkan
nyicil	mencicil
nyiram	menyiram
nyoblos	mencoblos
nyok	ayo
nyokap	ibu
nyungsep	jatuh
o/	oleh
official	resmi
ogah	tidak mau
ok	ok
okt	oktober
ol	online
olh	oleh
omdo	hanya omong
ongkir	ongkos kirim
only	hanya
oon	bodoh
oot	out of topic
or	atau
ora tidak
orange	oranye
org	orang
org2	orang orang
orkes	olahraga dan kesehatan
ortu	orang tua
ospek	orientasi studi dan pengenalan kampus
otda	otonomi daerah
otre	oke
otw	sedang di jalan
our	kami
pa	apa
pacal	pacar
pahe	paket hemat
pake	pakai
pakek	pakai
pala	kepala
palbis	paling bisa
panja	panitia kerja
pansus	panitia khusus
pantura	pantai utara
paranoid	takut
parno	takut
parpol	partai politik
parte	partai
pas2an	pas pasan
paslon	pasangan calon
paslon	pasangan calon
pasutri	pasangan suami istri
patas	cepat dan terbatas
pcr	pacar
pcran	pacaran
pd	pada
pdhal	padahal
pdhl	padahal
pede	percaya diri
pelatda	pemusatan latihan daerah
pelatnas	pemusatan latihan nasional
pelototin	memelototi
pembokat	pembantu
pemda	pemerintah daerah
pemilu	pemilihan umum
pemkot	pemerintah kota
pemprov	pemerintah provinsi
pemred	pemimpin redaksi
penertiban	tertib
pengen	ingin
penjas	pendidikan jasmani
penmas	pendidikan masyarakat
perda	peraturan daerah
perek	wanita tuna susila
peres	palsu
perhatiin	perhatikan
personil	personel
pertamax	pertama
pesenan	pesanan
pesenin	pesankan
pg	pagi
pgang	pegang
pgg	pegang
pgi	pergi
photography	fotografi
php	pemberi harapan palsu
pi	tapi
pijetin	pijitkan
pilkada	pemilihan kepala daerah
pilwakot	pemilihan wali kota
pilwalkot	pemilihan wali kota
pimpro	pemimpin proyek
pisan	sangat
pisgor	pisang goreng
pk	pakai
pke	pakai
plg	paling
plg	pulang
plh	pilih
plis	tolong
pliss	tolong
pliz	tolong
pls	tolong
plz	tolong
pm	private message
pmrnth	pemerintah
pndukung	pendukung
pnh	pernah
pntg	penting
pny	punya
pny	punya
polantas	polisi lalu lintas
politic	politik
polres	kepolisian resor
polwan	polisi wanita
ponpes	pondok pesantren
ponsel	telepon seluler
pp	pulang pergi
ppa	apa
prasmu	perasaan saja
prcya	percaya
presh	segar
prg	pergi
prikitiw	cie
priksa	periksa
prnh	pernah
prnh	pernah
pro	profesional
problem	masalah
prototype	contoh
psen	pesan
psn	pesan
pst	pasti
pst	pesat
psti	pasti
pswt	pesawat
ptg	penting
ptgg	penting
puanas	panas
pulgar	kasar
puyeng	pusing
pw	posisi nyaman
qc	kontrol kualitas
qmo	kamu
qmu	kamu
qt	kita
quick	cepat
rakor	rapat koordinasi
rame	ramai
ranmor	kendaraan bermotor
raskin	rakyat miskin
re	balas
recokin	ganggu
red	redaksi
ref	referensi
reg	register
rehab	rehabilitasi
rejeki	rezeki
reklamuk	reklamasi
rempong	repot
rempong	sulit
renstra	rencana strategis
rep	balas
repp	balas
resiko	risiko
reskrim	reserse kriminal
restik	reserse narkotika
reti	mengerti
rhs	rahasia
ri	republik indonesia
rights	benar
rja	raja
rkyt	rakyat
rmbt	rambut
rmh	rumah
rofl	rolling on the floor laughing
rotfl	tertawa
ru	baru
rubahnn	rubah
rudal	peluru kendali
ruko	rumah toko
rusun	rumah susun
rusunawa	rumah susun sewa
rutan	rumah tahanan
ruz	terus
s4	sempat
sabeb	bebas
sabeb	bebas
sadaar	sadar
saia	saya
saiank	sayang
salting	salah tingkah
saltum	salah kostum
samlekom	assalamuallaikum
samlekum	assalamuallaikum
sampe	sampai
sampeyan	anda
samsek	sama sekali
sapa	siapa
sapose	siapa
satkorlak	satuan koordinator pelaksana
satpam	satuan pengamanan
say	sayang
sayan	sayang
sbb	sebagai berikut
sbg	sebagai
sbh	sebuah
sblm	sebelum
sbnrny	sebenarnya
scara	secara
schedule	jadwal
scr	secara
sdg	sedang
sdgkn	sedangkan
sdh	sudah
sdh	sudah
sdkt	sedikit
sdngkn	sedangkan
se7	setuju
seabrek	banyak
sebelas dua belas	mirip
sebelom	sebelum
sekjen	sekretaris jenderal
selow	santai
semau	asal
sembako	sembilan bahan pokok
sempak	celana dalam
sempet	sempat
sempet2nya	sempat sempatnya
sendratari	seni drama tari
sengeni	dimarahi
sept	september
serasiii	serasi
sertijab	serah terima jabatan
seting	akting
setting	atur
setting	atur
sgt	sangat
sgt	sangat
sgtu	segitu
sgtuny	segitunya
sgtunya	segitunya
sh	masih
shg	sehingga
sidak	inspeksi mendadak
siech	sih
sieyh	sih
sikon	situasi dan kondisi
simiskin	miskin
simpedes	simpanan pedesaan
sinetron	sinema elektronik
sip	ok
siramin	siramkan
sis	kakak perempuan
sj	saja
sjjurny	sejujurnya
skali	sekali
skali	sekali
skalian	sekalian
skl	sekali
sklh	sekolah
skrg	sekarang
skrg	sekarang
skt	sakit
skul	sekolah
skuy	ayo
slalu	selalu
slama	selama
slesai	selesai
slh	salah
slh	salah
sll	selalu
sll	selalu
slm	salam
slma	selama
slmt	selamat
slsai	selesai
slt	sulit
slur	saudara
sm	sama
sma	sama
smg	semoga
smg	semoga
smga	semoga
smpt	sempat
smua	semua
smw	semua
smwny	semuanya
smwnya	semuanya
sndiri	sendiri
sng	senang
sni	sini
soft	halus
sohib	teman
soljum	sholat jumat
solve	solusi
somse	sombong sekali
songong	sombong
sorry	maaf
sory	maaf
sosbud	sosial budaya
sosek	sosial ekonomi
sospol	sosial politik
sotoy	sok tahu
sowry	maaf
spa	siapa
spd	sepeda
sppa	siapa
sprti	seperti
spt	seperti
spy	supaya
srtfkt	sertifikat
stage	panggung
stelah	setelah
stiap	setiap
stiap	setiap
still	masih
stj	setuju
stlh	setelah
stop	henti
stuju	setuju
subbag	subbagian
suk	masuk
sumbangin	sumbangkan
sumpek	sempit
suwun	terima kasih
sy	saya
sya	saya
syg	sayang
syg	sayang
syp	siapa
t4	tempat
tabanas		tabungan pembangunan nasional
tahi	kotoran
tai	kotoran
taik	kotoran
taik	tahi
tajir	kaya
tak	tidak
taping	perekaman
tar	nanti
tau	tahu
tauk	tahu
taun	tahun
taw	tahu
tawh	tahu
td	tadi
tdi	tadi
tdk	tidak
tdk	tidak
te2p	tetap
team	tim
tekor	rugi
telat	terlambat
telkom	telekomunikasi
telmi	telat berpikir
telp	telepon
temen	teman
temen2	teman teman
tengil	menyebalkan
tengok	menjenguk
tengsin	malu
tepar	terkapar
terbitin	terbitkan
teteh	kakak perempuan
tggu	tunggu
tgl	tanggal
tgu	tunggu
thanks	terima kasih
thankz	terima kasih
thd	terhadap
thn	tahun
thn	tahun
thx	terima kasih
tik	cantik
tilang	bukti pelanggaran
tilep	tilap
timses	tim sukses
tipi	TV
tipiwan	TvOne
tirani	tiran
tkg	tukang
tks	terima kasih
tkt	takut
tll	terlalu
tlp	telepon
tlpn	telepon
tls	tulis
tman	teman
tmbah	tambah
tmbh	tambah
tmen2	teman teman
tmn2	teman teman
tmpah	tumpah
tmph	tumpah
tmpt	tempat
tnda	tanda
tngu	tunggu
tnh	tanah
tnyta	ternyata
togel	toto gelap
toserba	toko serba ada
toys	main
tp	tapi
tpi	tapi
tpii	tapi
tps	tempat pemungutan suara
tq	terima kasih
trdhulu	terdahulu
tren	tren
trending	tren
trgntg	tergantung
trima	terima kasih
trims	terima kasih
trimz	terima kasih
trlalu	terlalu
trm	terima
trnyt	ternyata
trs	terus
trus	terus
trus	terus
trutama	terutama
trz	terus
ts	penulis
tsangka	tersangka
tsb	tersebut
tsk	tersangka
tst	tahu sama tahu
ttd	tertanda
ttg	tentang
ttp	tetap
tuch	tuh
tuh	itu
tuir	tua
tuwh	tuh
tw	tahu
tw	tau
tyap	tiap
typo	salah tulis
u	kamu
u	you
u/	untuk
